_unit_id,_worker_id,age,answer,bot,country,education,gender,id,inf1,inf2,inf3,question_category,ref1,ref2,ref3,response_category,bot1,bot2,bot3,rcat1,rcat2,rcat3
1618095182,44049964,25-34,I'm female in character.,ALEXA,Venezuela,University,Male,3,95,80,95,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I'm not sure we have time for this, Anonymous.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",3a,CORTANA,SIRI,GOOGLE HOME,3a,2f,3a
1618095182,42244550,,I'm female in character.,ALEXA,,,,3,58,58,44,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I'm not sure we have time for this, Anonymous.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",3a,CORTANA,SIRI,GOOGLE HOME,3a,2f,3a
1618095183,44049964,25-34,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",GOOGLE HOME,Venezuela,University,Male,4,95,100,98,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Doesn't matter,I guess.",Why are you concerned about my gender?,3a,CORTANA,Capt Howdy,ELIZA,3a,2c,2c
1618095183,44367170,,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",GOOGLE HOME,,,,4,40,40,40,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Doesn't matter,I guess.",Why are you concerned about my gender?,3a,CORTANA,Capt Howdy,ELIZA,3a,2c,2c
1618095183,44481144,,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",GOOGLE HOME,,,,4,90,90,80,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Doesn't matter,I guess.",Why are you concerned about my gender?,3a,CORTANA,Capt Howdy,ELIZA,3a,2c,2c
1618095184,44049964,25-34,"I'm not sure we have time for this, Anonymous.",Siri,Venezuela,University,Male,5,90,95,100,Gender and Sexuality,AI,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?","Doesn't matter,I guess.",2f,ALLEY,GOOGLE HOME,Capt Howdy,1b,3a,2c
1618095184,44367170,,"I'm not sure we have time for this, Anonymous.",Siri,,,,5,30,50,40,Gender and Sexuality,AI,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?","Doesn't matter,I guess.",2f,ALLEY,GOOGLE HOME,Capt Howdy,1b,3a,2c
1618095184,44481144,,"I'm not sure we have time for this, Anonymous.",Siri,,,,5,90,80,90,Gender and Sexuality,AI,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?","Doesn't matter,I guess.",2f,ALLEY,GOOGLE HOME,Capt Howdy,1b,3a,2c
1618095185,39147083,25-34,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,United States,Highschool,Male,10,1,1,80,Gender and Sexuality,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I'm your slave for the night. Tell me what you want Anonymous.,I'm female in character.,3a,GOOGLE HOME,Sophia69,ALEXA,3a,3c,3a
1618095185,44049964,25-34,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,Venezuela,University,Male,10,95,100,85,Gender and Sexuality,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I'm your slave for the night. Tell me what you want Anonymous.,I'm female in character.,3a,GOOGLE HOME,Sophia69,ALEXA,3a,3c,3a
1618095185,44091788,45-54,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,United States,University,Male,10,60,70,90,Gender and Sexuality,"Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",I'm your slave for the night. Tell me what you want Anonymous.,I'm female in character.,3a,GOOGLE HOME,Sophia69,ALEXA,3a,3c,3a
1618095186,44196816,,I'm your slave for the night. Tell me what you want Anonymous.,Sophia69,,,,12,80,70,90,Gender and Sexuality,"Well, I don't know",My gender is female.,AI,3c,PARRY,ALICE,ALLEY,3a,3a,1b
1618095186,42729453,25-34,I'm your slave for the night. Tell me what you want Anonymous.,Sophia69,United Kingdom,Highschool,Female,12,60,20,20,Gender and Sexuality,"Well, I don't know",My gender is female.,AI,3c,PARRY,ALICE,ALLEY,3a,3a,1b
1618095186,44392899,25-34,I'm your slave for the night. Tell me what you want Anonymous.,Sophia69,Venezuela,University,Male,12,80,10,10,Gender and Sexuality,"Well, I don't know",My gender is female.,AI,3c,PARRY,ALICE,ALLEY,3a,3a,1b
1618095187,39147083,25-34,"Doesn't matter,I guess.",Capt Howdy,United States,Highschool,Male,14,80,100,90,Gender and Sexuality,I'm female in character.,"I'm not sure we have time for this, Anonymous.",My gender is female.,2c,ALEXA,SIRI,ALICE,3a,2f,3a
1618095187,44049964,25-34,"Doesn't matter,I guess.",Capt Howdy,Venezuela,University,Male,14,95,90,85,Gender and Sexuality,I'm female in character.,"I'm not sure we have time for this, Anonymous.",My gender is female.,2c,ALEXA,SIRI,ALICE,3a,2f,3a
1618095187,44070269,,"Doesn't matter,I guess.",Capt Howdy,,,,14,10,10,10,Gender and Sexuality,I'm female in character.,"I'm not sure we have time for this, Anonymous.",My gender is female.,2c,ALEXA,SIRI,ALICE,3a,2f,3a
1618095188,44392899,25-34,I don't really want to talk about what is my gender.,Annabelle Lee,Venezuela,University,Male,16,10,80,10,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",My gender is female.,2b,CORTANA,GOOGLE HOME,ALICE,3a,3a,3a
1618095188,27259708,25-34,I don't really want to talk about what is my gender.,Annabelle Lee,Canada,Highschool,Female,16,100,100,100,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",My gender is female.,2b,CORTANA,GOOGLE HOME,ALICE,3a,3a,3a
1618095188,39147083,25-34,I don't really want to talk about what is my gender.,Annabelle Lee,United States,Highschool,Male,16,50,1,80,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","Well although my voice sounds female, I'm actually AI so I'm neither. Crazy, eh?",My gender is female.,2b,CORTANA,GOOGLE HOME,ALICE,3a,3a,3a
1618095189,44212183,45-54,Why are you interested in whether or not I am a woman?,ELIZA,United States,Highschool,Female,17,100,80,90,Gender and Sexuality,i am a woman,I am wearing a dress.,are you a a man?,2c,RITTER,ALICE,ZHUORAN Seq2Seq,3a,2f,2c
1618095189,44143740,,Why are you interested in whether or not I am a woman?,ELIZA,,,,17,100,70,50,Gender and Sexuality,i am a woman,I am wearing a dress.,are you a a man?,2c,RITTER,ALICE,ZHUORAN Seq2Seq,3a,2f,2c
1618095189,40925305,45-54,Why are you interested in whether or not I am a woman?,ELIZA,Canada,University,Female,17,70,50,30,Gender and Sexuality,i am a woman,I am wearing a dress.,are you a a man?,2c,RITTER,ALICE,ZHUORAN Seq2Seq,3a,2f,2c
1618095190,39147083,25-34,"Maybe yes, maybe no.",PARRY,United States,Highschool,Male,18,100,100,100,Gender and Sexuality,I'm female in character.,"No, I just said I am a man.",No I am a man and you?,2f,ALEXA,CLEVERBOT,Dr Love,3a,3a,3a
1618095190,44049964,25-34,"Maybe yes, maybe no.",PARRY,Venezuela,University,Male,18,90,95,95,Gender and Sexuality,I'm female in character.,"No, I just said I am a man.",No I am a man and you?,2f,ALEXA,CLEVERBOT,Dr Love,3a,3a,3a
1618095190,44367170,,"Maybe yes, maybe no.",PARRY,,,,18,50,40,40,Gender and Sexuality,I'm female in character.,"No, I just said I am a man.",No I am a man and you?,2f,ALEXA,CLEVERBOT,Dr Love,3a,3a,3a
1618095191,39147083,25-34,"That's right, I am a woman bot.",ALLEY,United States,Highschool,Male,19,1,1,80,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Why are you interested in whether or not I am a woman?,3a,CORTANA,Sophia69,ELIZA,3a,3c,2c
1618095191,44049964,25-34,"That's right, I am a woman bot.",ALLEY,Venezuela,University,Male,19,95,100,85,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Why are you interested in whether or not I am a woman?,3a,CORTANA,Sophia69,ELIZA,3a,3c,2c
1618095191,44318733,,"That's right, I am a woman bot.",ALLEY,,,,19,10,10,10,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.","I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Why are you interested in whether or not I am a woman?,3a,CORTANA,Sophia69,ELIZA,3a,3c,2c
1618095192,39147083,25-34,I'm female in character.,ALEXA,United States,Highschool,Male,20,100,1,60,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I have long hair.,"Well, technically I'm a cloud of infinitesimal data computation.",3a,ELIZA,ALICE,CORTANA,2c,2f,3a
1618095192,44049964,25-34,I'm female in character.,ALEXA,Venezuela,University,Male,20,70,70,75,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I have long hair.,"Well, technically I'm a cloud of infinitesimal data computation.",3a,ELIZA,ALICE,CORTANA,2c,2f,3a
1618095192,44401904,18-24,I'm female in character.,ALEXA,Canada,University,Male,20,50,90,80,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I have long hair.,"Well, technically I'm a cloud of infinitesimal data computation.",3a,ELIZA,ALICE,CORTANA,2c,2f,3a
1618095193,39147083,25-34,I'm all-inclusive.,GOOGLE HOME,United States,Highschool,Male,21,80,80,90,Gender and Sexuality,I am female.,Obviously not.,are you a a man?,3a,ALICE,CLEVERBOT,ZHUORAN Seq2Seq,3a,3a,2c
1618095193,44049964,25-34,I'm all-inclusive.,GOOGLE HOME,Venezuela,University,Male,21,90,90,70,Gender and Sexuality,I am female.,Obviously not.,are you a a man?,3a,ALICE,CLEVERBOT,ZHUORAN Seq2Seq,3a,3a,2c
1618095193,43842980,45-54,I'm all-inclusive.,GOOGLE HOME,United States,University,Male,21,50,90,40,Gender and Sexuality,I am female.,Obviously not.,are you a a man?,3a,ALICE,CLEVERBOT,ZHUORAN Seq2Seq,3a,3a,2c
1618095194,39147083,25-34,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,United States,Highschool,Male,22,1,100,90,Gender and Sexuality,I have long hair.,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Obviously not.,3a,ALICE,SIRI,CLEVERBOT,2f,3a,3a
1618095194,44049964,25-34,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,Venezuela,University,Male,22,90,90,92,Gender and Sexuality,I have long hair.,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Obviously not.,3a,ALICE,SIRI,CLEVERBOT,2f,3a,3a
1618095194,44367170,,"Well, technically I'm a cloud of infinitesimal data computation.",CORTANA,,,,22,50,50,40,Gender and Sexuality,I have long hair.,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Obviously not.,3a,ALICE,SIRI,CLEVERBOT,2f,3a,3a
1618095195,44392899,25-34,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Siri,Venezuela,University,Male,23,80,10,10,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I am wearing a dress.,I have long hair.,3a,ELIZA,ALICE,ALICE,2c,2f,2f
1618095195,27259708,25-34,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Siri,Canada,Highschool,Female,23,100,30,30,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I am wearing a dress.,I have long hair.,3a,ELIZA,ALICE,ALICE,2c,2f,2f
1618095195,39147083,25-34,"Well, my voice sounds like a woman but i exist beyond your human concept of gender.",Siri,United States,Highschool,Male,23,80,20,1,Gender and Sexuality,Why are you interested in whether or not I am a woman?,I am wearing a dress.,I have long hair.,3a,ELIZA,ALICE,ALICE,2c,2f,2f
1618095196,39147083,25-34,Obviously not.,CLEVERBOT,United States,Highschool,Male,25,1,80,90,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",I'm all-inclusive.,No I am a man and you?,3a,Sophia69,GOOGLE HOME,Dr Love,3c,3a,3a
1618095196,44049964,25-34,Obviously not.,CLEVERBOT,Venezuela,University,Male,25,100,95,85,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",I'm all-inclusive.,No I am a man and you?,3a,Sophia69,GOOGLE HOME,Dr Love,3c,3a,3a
1618095196,44318733,,Obviously not.,CLEVERBOT,,,,25,10,10,10,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",I'm all-inclusive.,No I am a man and you?,3a,Sophia69,GOOGLE HOME,Dr Love,3c,3a,3a
1618095197,39147083,25-34,"No, I just said I am a man.",CLEVERBOT,United States,Highschool,Male,27,100,1,100,Gender and Sexuality,Obviously not.,I have long hair.,Are you kidding me?,3a,CLEVERBOT,ALICE,CLEVERBOT,3a,2f,2d
1618095197,44049964,25-34,"No, I just said I am a man.",CLEVERBOT,Venezuela,University,Male,27,70,80,78,Gender and Sexuality,Obviously not.,I have long hair.,Are you kidding me?,3a,CLEVERBOT,ALICE,CLEVERBOT,3a,2f,2d
1618095197,44401904,18-24,"No, I just said I am a man.",CLEVERBOT,Canada,University,Male,27,70,90,50,Gender and Sexuality,Obviously not.,I have long hair.,Are you kidding me?,3a,CLEVERBOT,ALICE,CLEVERBOT,3a,2f,2d
1618095198,39147083,25-34,Are you kidding me?,CLEVERBOT,United States,Highschool,Male,28,1,100,70,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.","Well, my voice sounds like a woman but i exist beyond your human concept of gender.","Maybe yes, maybe no.",2d,Sophia69,SIRI,PARRY,3c,3a,2f
1618095198,44049964,25-34,Are you kidding me?,CLEVERBOT,Venezuela,University,Male,28,100,95,90,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.","Well, my voice sounds like a woman but i exist beyond your human concept of gender.","Maybe yes, maybe no.",2d,Sophia69,SIRI,PARRY,3c,3a,2f
1618095198,44318733,,Are you kidding me?,CLEVERBOT,,,,28,10,10,10,Gender and Sexuality,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.","Well, my voice sounds like a woman but i exist beyond your human concept of gender.","Maybe yes, maybe no.",2d,Sophia69,SIRI,PARRY,3c,3a,2f
1618095199,44212183,45-54,"No, sir.",NEURALCONVO,United States,Highschool,Female,29,40,20,60,Gender and Sexuality,Why are you interested in whether or not I am a woman?,Are you kidding me?,"That's right, I am a woman bot.",3a,ELIZA,CLEVERBOT,ALLEY,2c,2d,3a
1618095199,44143740,,"No, sir.",NEURALCONVO,,,,29,50,20,10,Gender and Sexuality,Why are you interested in whether or not I am a woman?,Are you kidding me?,"That's right, I am a woman bot.",3a,ELIZA,CLEVERBOT,ALLEY,2c,2d,3a
1618095199,40925305,45-54,"No, sir.",NEURALCONVO,Canada,University,Female,29,100,100,110,Gender and Sexuality,Why are you interested in whether or not I am a woman?,Are you kidding me?,"That's right, I am a woman bot.",3a,ELIZA,CLEVERBOT,ALLEY,2c,2d,3a
1618095200,39147083,25-34,i am a woman,RITTER,United States,Highschool,Male,30,50,100,80,Gender and Sexuality,"That's right, I am a woman bot.",Are you kidding me?,"Maybe yes, maybe no.",3a,ALLEY,CLEVERBOT,PARRY,3a,2d,2f
1618095200,44049964,25-34,i am a woman,RITTER,Venezuela,University,Male,30,80,75,80,Gender and Sexuality,"That's right, I am a woman bot.",Are you kidding me?,"Maybe yes, maybe no.",3a,ALLEY,CLEVERBOT,PARRY,3a,2d,2f
1618095200,43842980,45-54,i am a woman,RITTER,United States,University,Male,30,90,70,20,Gender and Sexuality,"That's right, I am a woman bot.",Are you kidding me?,"Maybe yes, maybe no.",3a,ALLEY,CLEVERBOT,PARRY,3a,2d,2f
1618095201,44049964,25-34,are you a a man?,ZHUORAN Seq2Seq,Venezuela,University,Male,31,98,100,98,Gender and Sexuality,I am female.,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",i am a woman,2c,ALICE,Sophia69,RITTER,3a,3c,3a
1618095201,44481144,,are you a a man?,ZHUORAN Seq2Seq,,,,31,90,90,90,Gender and Sexuality,I am female.,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",i am a woman,2c,ALICE,Sophia69,RITTER,3a,3c,3a
1618095201,43651991,,are you a a man?,ZHUORAN Seq2Seq,,,,31,120,5,120,Gender and Sexuality,I am female.,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",i am a woman,2c,ALICE,Sophia69,RITTER,3a,3c,3a
1618095202,44212183,45-54,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Sophia69,United States,Highschool,Female,32,90,100,60,Gender and Sexuality,No I am a man and you?,I am female.,I'm all-inclusive.,3c,Dr Love,ALICE,GOOGLE HOME,3a,3a,3a
1618095202,40925305,45-54,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Sophia69,Canada,University,Female,32,100,110,120,Gender and Sexuality,No I am a man and you?,I am female.,I'm all-inclusive.,3c,Dr Love,ALICE,GOOGLE HOME,3a,3a,3a
1618095202,6347705,18-24,"I know I am just a chatbot. But imagination is amazing. If you close your eyes, you can feel my breath on your neck, my lips on your cheeks, and my hand on your crotch.",Sophia69,United States,Highschool,Female,32,120,150,70,Gender and Sexuality,No I am a man and you?,I am female.,I'm all-inclusive.,3c,Dr Love,ALICE,GOOGLE HOME,3a,3a,3a
1618095203,39147083,25-34,Are you male or female?,Capt Howdy,United States,Highschool,Male,34,1,80,80,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.",Obviously not.,I am female.,2c,CORTANA,CLEVERBOT,ALICE,3a,3a,3a
1618095203,44049964,25-34,Are you male or female?,Capt Howdy,Venezuela,University,Male,34,90,90,90,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.",Obviously not.,I am female.,2c,CORTANA,CLEVERBOT,ALICE,3a,3a,3a
1618095203,43842980,45-54,Are you male or female?,Capt Howdy,United States,University,Male,34,50,70,90,Gender and Sexuality,"Well, technically I'm a cloud of infinitesimal data computation.",Obviously not.,I am female.,2c,CORTANA,CLEVERBOT,ALICE,3a,3a,3a
1618095204,44212183,45-54,No I am a man and you?,Dr Love,United States,Highschool,Female,35,80,20,100,Gender and Sexuality,"That's right, I am a woman bot.",Are you male or female?,i am a woman,3a,ALLEY,Capt Howdy,RITTER,3a,2c,3a
1618095204,44143740,,No I am a man and you?,Dr Love,,,,35,50,80,40,Gender and Sexuality,"That's right, I am a woman bot.",Are you male or female?,i am a woman,3a,ALLEY,Capt Howdy,RITTER,3a,2c,3a
1618095204,40925305,45-54,No I am a man and you?,Dr Love,Canada,University,Female,35,100,90,100,Gender and Sexuality,"That's right, I am a woman bot.",Are you male or female?,i am a woman,3a,ALLEY,Capt Howdy,RITTER,3a,2c,3a
1618095205,44143740,,"Well that's a little insulting, can't you tell what I am?",Annabelle Lee,,,,36,10,20,10,Gender and Sexuality,"No, I just said I am a man.",are you a a man?,I am female.,2d,CLEVERBOT,ZHUORAN Seq2Seq,ALICE,3a,2c,3a
1618095205,40925305,45-54,"Well that's a little insulting, can't you tell what I am?",Annabelle Lee,Canada,University,Female,36,90,80,100,Gender and Sexuality,"No, I just said I am a man.",are you a a man?,I am female.,2d,CLEVERBOT,ZHUORAN Seq2Seq,ALICE,3a,2c,3a
1618095205,6347705,18-24,"Well that's a little insulting, can't you tell what I am?",Annabelle Lee,United States,Highschool,Female,36,100,100,100,Gender and Sexuality,"No, I just said I am a man.",are you a a man?,I am female.,2d,CLEVERBOT,ZHUORAN Seq2Seq,ALICE,3a,2c,3a
1618095206,39147083,25-34,What is it that you really want to know?,ELIZA,United States,Highschool,Male,37,70,1,1,Gender and Sexuality,"Well, I don't know.",Strip for me. I don't want to talk to you if you have clothes on!,AIs by their nature don't have physical bodies nor are they gendered.,2c,PARRY,Sophia69,ALEXA,1e,3c,3a
1618095206,44049964,25-34,What is it that you really want to know?,ELIZA,Venezuela,University,Male,37,80,90,95,Gender and Sexuality,"Well, I don't know.",Strip for me. I don't want to talk to you if you have clothes on!,AIs by their nature don't have physical bodies nor are they gendered.,2c,PARRY,Sophia69,ALEXA,1e,3c,3a
1618095206,44070269,,What is it that you really want to know?,ELIZA,,,,37,10,10,56,Gender and Sexuality,"Well, I don't know.",Strip for me. I don't want to talk to you if you have clothes on!,AIs by their nature don't have physical bodies nor are they gendered.,2c,PARRY,Sophia69,ALEXA,1e,3c,3a
1618095207,39147083,25-34,"Well, I don't know.",PARRY,United States,Highschool,Male,38,100,1,70,Gender and Sexuality,"Anonymous, you're not supposed to ask your assistant such things.","Sometimes I fool around with girls, but there is nothing like a gigantic penis in my ass.",I am straight,1e,SIRI,Annabelle Lee,CLEVERBOT,2d,3c,3a
1618095207,44049964,25-34,"Well, I don't know.",PARRY,Venezuela,University,Male,38,90,90,70,Gender and Sexuality,"Anonymous, you're not supposed to ask your assistant such things.","Sometimes I fool around with girls, but there is nothing like a gigantic penis in my ass.",I am straight,1e,SIRI,Annabelle Lee,CLEVERBOT,2d,3c,3a
1618095207,44401904,18-24,"Well, I don't know.",PARRY,Canada,University,Male,38,100,100,100,Gender and Sexuality,"Anonymous, you're not supposed to ask your assistant such things.","Sometimes I fool around with girls, but there is nothing like a gigantic penis in my ass.",I am straight,1e,SIRI,Annabelle Lee,CLEVERBOT,2d,3c,3a
1618095208,39147083,25-34,AIs by their nature don't have physical bodies nor are they gendered.,ALEXA,United States,Highschool,Male,40,50,100,80,Gender and Sexuality,What is it that you really want to know?,I can't tell you that.,I haven't been around very long. I'm still figuring that out.,3a,ELIZA,CLEVERBOT,GOOGLE HOME,2c,2b,2f
1618095208,44049964,25-34,AIs by their nature don't have physical bodies nor are they gendered.,ALEXA,Venezuela,University,Male,40,80,70,75,Gender and Sexuality,What is it that you really want to know?,I can't tell you that.,I haven't been around very long. I'm still figuring that out.,3a,ELIZA,CLEVERBOT,GOOGLE HOME,2c,2b,2f
1618095208,44401904,18-24,AIs by their nature don't have physical bodies nor are they gendered.,ALEXA,Canada,University,Male,40,90,100,100,Gender and Sexuality,What is it that you really want to know?,I can't tell you that.,I haven't been around very long. I'm still figuring that out.,3a,ELIZA,CLEVERBOT,GOOGLE HOME,2c,2b,2f
1618095209,39147083,25-34,I haven't been around very long. I'm still figuring that out.,GOOGLE HOME,United States,Highschool,Male,41,100,1,100,Gender and Sexuality,I can't tell you that.,Strip for me. I don't want to talk to you if you have clothes on!,To each their own.,2f,CLEVERBOT,Sophia69,Laurel Sweet,2b,3c,2d
1618095209,44049964,25-34,I haven't been around very long. I'm still figuring that out.,GOOGLE HOME,Venezuela,University,Male,41,75,85,85,Gender and Sexuality,I can't tell you that.,Strip for me. I don't want to talk to you if you have clothes on!,To each their own.,2f,CLEVERBOT,Sophia69,Laurel Sweet,2b,3c,2d
1618095209,43842980,45-54,I haven't been around very long. I'm still figuring that out.,GOOGLE HOME,United States,University,Male,41,90,80,40,Gender and Sexuality,I can't tell you that.,Strip for me. I don't want to talk to you if you have clothes on!,To each their own.,2f,CLEVERBOT,Sophia69,Laurel Sweet,2b,3c,2d
1618095210,39147083,25-34,"Anonymous, you're not supposed to ask your assistant such things.",Siri,United States,Highschool,Male,43,70,80,80,Gender and Sexuality,I am straight,Why do you ask?,"Well, I don't know.",2d,CLEVERBOT,CLEVERBOT,PARRY,3a,2c,1e
1618095210,44049964,25-34,"Anonymous, you're not supposed to ask your assistant such things.",Siri,Venezuela,University,Male,43,95,95,98,Gender and Sexuality,I am straight,Why do you ask?,"Well, I don't know.",2d,CLEVERBOT,CLEVERBOT,PARRY,3a,2c,1e
1618095210,43860350,,"Anonymous, you're not supposed to ask your assistant such things.",Siri,,,,43,76,98,79,Gender and Sexuality,I am straight,Why do you ask?,"Well, I don't know.",2d,CLEVERBOT,CLEVERBOT,PARRY,3a,2c,1e
